text,label
Sometimes I feel amazing,joy
I am feeling very happiness,joy
Sometimes I feel love,joy
I am happiness about everything,joy
Lately I have been happy,joy
I am excited about everything,joy
I am feeling very amazing,joy
I am feeling very great,joy
I feel confident because of recent events,joy
"Honestly, I feel great",joy
Sometimes I feel love,joy
These days I am positive,joy
These days I am love,joy
I am happy about everything,joy
Right now I feel happiness,joy
These days I am great,joy
Lately I have been happiness,joy
Lately I have been great,joy
I am feeling very confident,joy
I feel excited today,joy
Sometimes I feel love,joy
These days I am positive,joy
Right now I feel happy,joy
These days I am amazing,joy
I am feeling very positive,joy
These days I am great,joy
I feel great because of recent events,joy
"Honestly, I feel happiness",joy
Lately I have been great,joy
Lately I have been amazing,joy
I feel happiness today,joy
These days I am excited,joy
Sometimes I feel amazing,joy
Sometimes I feel happiness,joy
I feel amazing because of recent events,joy
"Honestly, I feel amazing",joy
Sometimes I feel confident,joy
I am feeling very positive,joy
I feel happy because of recent events,joy
I am wonderful about everything,joy
I feel amazing today,joy
Right now I feel happiness,joy
These days I am happy,joy
Lately I have been happy,joy
"Honestly, I feel positive",joy
These days I am positive,joy
I am excited about everything,joy
Sometimes I feel love,joy
Sometimes I feel happiness,joy
I feel wonderful because of recent events,joy
I am extremely wonderful right now,joy
Lately I have been happiness,joy
I feel wonderful because of recent events,joy
These days I am positive,joy
"Honestly, I feel love",joy
Sometimes I feel happy,joy
I am extremely happiness right now,joy
I am extremely amazing right now,joy
I feel happiness because of recent events,joy
I feel confident today,joy
Sometimes I feel confident,joy
I feel love today,joy
"Honestly, I feel great",joy
I am wonderful about everything,joy
Sometimes I feel positive,joy
Right now I feel happy,joy
"Honestly, I feel amazing",joy
These days I am excited,joy
Sometimes I feel positive,joy
I feel happiness today,joy
Lately I have been great,joy
"Honestly, I feel amazing",joy
"Honestly, I feel happy",joy
I am feeling very love,joy
I am feeling very great,joy
I am feeling very positive,joy
Sometimes I feel excited,joy
"Honestly, I feel amazing",joy
I feel amazing because of recent events,joy
Sometimes I feel positive,joy
Sometimes I feel great,joy
Lately I have been confident,joy
Right now I feel love,joy
Lately I have been confident,joy
These days I am happiness,joy
I am extremely love right now,joy
These days I am confident,joy
These days I am happy,joy
I am amazing about everything,joy
Lately I have been positive,joy
"Honestly, I feel positive",joy
I am extremely positive right now,joy
"Honestly, I feel wonderful",joy
I feel confident because of recent events,joy
I am extremely positive right now,joy
Right now I feel great,joy
Right now I feel love,joy
I feel love today,joy
Sometimes I feel wonderful,joy
I feel love because of recent events,joy
Sometimes I feel miss,sadness
Lately I have been sad,sadness
I am feeling very hopeless,sadness
I am feeling very disappointed,sadness
I feel disappointed today,sadness
I feel miss because of recent events,sadness
I am feeling very miss,sadness
These days I am disappointed,sadness
I am hopeless about everything,sadness
I am feeling very heartbroken,sadness
"Honestly, I feel hopeless",sadness
I am extremely heartbroken right now,sadness
"Honestly, I feel disappointed",sadness
I am sad about everything,sadness
Right now I feel lonely,sadness
Right now I feel depressed,sadness
I feel lonely because of recent events,sadness
I am feeling very lonely,sadness
Lately I have been disappointed,sadness
I feel depressed today,sadness
I am extremely sad right now,sadness
These days I am sad,sadness
I am extremely hopeless right now,sadness
Lately I have been heartbroken,sadness
"Honestly, I feel cry",sadness
I am heartbroken about everything,sadness
Lately I have been miss,sadness
I am feeling very miss,sadness
I am heartbroken about everything,sadness
Sometimes I feel cry,sadness
Right now I feel miss,sadness
These days I am disappointed,sadness
These days I am disappointed,sadness
Sometimes I feel sad,sadness
"Honestly, I feel depressed",sadness
I am feeling very miss,sadness
I am extremely disappointed right now,sadness
I feel depressed because of recent events,sadness
Sometimes I feel depressed,sadness
Right now I feel depressed,sadness
Sometimes I feel heartbroken,sadness
Right now I feel lonely,sadness
I am heartbroken about everything,sadness
I am hopeless about everything,sadness
These days I am depressed,sadness
I feel sad because of recent events,sadness
I feel depressed today,sadness
I am sad about everything,sadness
These days I am disappointed,sadness
I am cry about everything,sadness
Right now I feel hopeless,sadness
I am cry about everything,sadness
Lately I have been depressed,sadness
I feel lonely today,sadness
Sometimes I feel depressed,sadness
I am sad about everything,sadness
Lately I have been hopeless,sadness
These days I am lonely,sadness
I feel hopeless because of recent events,sadness
Right now I feel miss,sadness
"Honestly, I feel miss",sadness
"Honestly, I feel hopeless",sadness
Lately I have been depressed,sadness
Sometimes I feel depressed,sadness
I am extremely depressed right now,sadness
Sometimes I feel lonely,sadness
Lately I have been lonely,sadness
I feel cry because of recent events,sadness
I am feeling very hopeless,sadness
I feel heartbroken today,sadness
"Honestly, I feel depressed",sadness
Sometimes I feel lonely,sadness
These days I am hopeless,sadness
I am extremely heartbroken right now,sadness
Right now I feel lonely,sadness
I feel disappointed today,sadness
I am hopeless about everything,sadness
I am feeling very cry,sadness
These days I am disappointed,sadness
I am feeling very heartbroken,sadness
I feel miss today,sadness
These days I am sad,sadness
I am feeling very disappointed,sadness
Right now I feel lonely,sadness
I feel miss because of recent events,sadness
I am extremely disappointed right now,sadness
I am heartbroken about everything,sadness
I feel miss because of recent events,sadness
Sometimes I feel lonely,sadness
These days I am heartbroken,sadness
I am extremely sad right now,sadness
Sometimes I feel cry,sadness
Right now I feel disappointed,sadness
I am feeling very hopeless,sadness
"Honestly, I feel hopeless",sadness
I feel hopeless today,sadness
These days I am heartbroken,sadness
I am feeling very cry,sadness
I am feeling very disappointed,sadness
I am cry about everything,sadness
I feel stress today,anxiety
Right now I feel worry,anxiety
I am anxious about everything,anxiety
I am feeling very anxiety,anxiety
Right now I feel nervous,anxiety
Right now I feel anxiety,anxiety
Lately I have been worry,anxiety
These days I am stress,anxiety
Lately I have been anxious,anxiety
These days I am nervous,anxiety
I am feeling very anxious,anxiety
Lately I have been stress,anxiety
I am extremely stress right now,anxiety
I am anxiety about everything,anxiety
I feel worry today,anxiety
These days I am anxious,anxiety
Lately I have been stress,anxiety
"Honestly, I feel panic",anxiety
I am feeling very stressed,anxiety
Sometimes I feel overthinking,anxiety
"Honestly, I feel worry",anxiety
Sometimes I feel stressed,anxiety
Right now I feel nervous,anxiety
"Honestly, I feel stress",anxiety
Sometimes I feel worried,anxiety
I feel stress today,anxiety
I feel overthinking because of recent events,anxiety
I am feeling very panic,anxiety
Sometimes I feel overthinking,anxiety
I am feeling very stressed,anxiety
I am worry about everything,anxiety
I am feeling very anxious,anxiety
These days I am anxious,anxiety
I am extremely nervous right now,anxiety
I am panic about everything,anxiety
These days I am nervous,anxiety
"Honestly, I feel overthinking",anxiety
I am feeling very panic,anxiety
"Honestly, I feel stressed",anxiety
I feel anxiety because of recent events,anxiety
Right now I feel overthinking,anxiety
I am extremely panic right now,anxiety
I feel overthinking because of recent events,anxiety
I am feeling very panic,anxiety
I feel worry because of recent events,anxiety
These days I am worry,anxiety
Lately I have been worry,anxiety
I am feeling very overthinking,anxiety
I am feeling very stressed,anxiety
I feel stressed because of recent events,anxiety
I am extremely stressed right now,anxiety
"Honestly, I feel anxious",anxiety
I am stress about everything,anxiety
"Honestly, I feel nervous",anxiety
I am feeling very worry,anxiety
I am extremely panic right now,anxiety
I feel panic today,anxiety
I am worried about everything,anxiety
I am extremely worried right now,anxiety
I am stressed about everything,anxiety
Right now I feel nervous,anxiety
Sometimes I feel anxious,anxiety
I am feeling very anxiety,anxiety
"Honestly, I feel worry",anxiety
I am feeling very worry,anxiety
I am worried about everything,anxiety
I feel anxiety because of recent events,anxiety
I am nervous about everything,anxiety
I feel nervous today,anxiety
I feel worried today,anxiety
These days I am anxious,anxiety
I am extremely worried right now,anxiety
I feel worry today,anxiety
Lately I have been anxious,anxiety
I am feeling very panic,anxiety
I feel anxious today,anxiety
"Honestly, I feel stressed",anxiety
I feel anxiety because of recent events,anxiety
Sometimes I feel panic,anxiety
Lately I have been worry,anxiety
These days I am worry,anxiety
I am worry about everything,anxiety
I feel stressed today,anxiety
Lately I have been anxious,anxiety
I am feeling very stress,anxiety
Sometimes I feel worried,anxiety
Sometimes I feel panic,anxiety
I feel overthinking because of recent events,anxiety
Right now I feel worried,anxiety
